,search_id,num_planet,disposition,ror,stellar_mass,ss_gravity,period,duration,transit_epoch
118,KIC 4936180,1,2,0.333559,0.786,4.5,4.64090031,35.512,2455006.64638
119,KIC 11913073,1,0,0.151387,0.926,4.569,3.747838198,5.0642,2455004.66504
120,KIC 10875245,1,1,0.018864,1.113,4.191,14.74914825,6.0995,2454971.77799
121,KIC 5021899,1,1,0.030952,0.934,4.41,21.81295996,4.3791,2455007.01085
122,KIC 5077629,1,0,0.121984,0.852,4.588,7.91936937,3.3148,2455005.181092
123,KIC 5115978,1,2,0.673134,0.959,4.428,1.028436523,1.8606,2455003.228582
124,KIC 5164255,1,1,0.12103,0.793,4.496,15.37562369,3.3169,2455006.61402
125,KIC 5252423,1,1,0.026361,0.733,4.574,8.10363271,3.161,2455009.9486
126,KIC 5252423,2,1,0.018268,0.733,4.574,4.71510843,2.506,2454967.96178
127,KIC 5272878,1,1,0.026275,0.939,4.554,6.365839713,2.9721,2455004.13575
128,KIC 5283542,1,0,0.035468,1.072,4.471,5.97581754,3.065,2455007.77602
129,KIC 5649215,1,0,0.278526,0.959,4.548,2.446737317,4.7211,2455003.66951
130,KIC 5651104,1,1,0.104023,0.754,4.519,3.04033046,1.8411,2455002.9490106
131,KIC 5792202,1,1,0.056,0.926,4.581,15.33528675,3.897,2455007.00278
132,KIC 10875245,4,1,0.006915,1.113,4.191,7.95825328,4.377,2454970.80219
133,KIC 5792202,2,1,0.072904,0.926,4.581,31.33046135,5.176,2454986.43031
134,KIC 5370302,1,0,0.125229,0.989,4.526,3.9043425,3.831,2455006.393734
135,KIC 5372966,1,0,0.19639,0.82,4.523,9.286358079,3.49949,2455004.8214689
136,KIC 5376067,1,0,0.331342,0.953,4.539,3.951405455,2.1862,2455006.276125
137,KIC 5436502,1,1,0.05219,1.083,4.191,23.65369415,8.2183,2455004.376107
138,KIC 5436502,2,1,0.020278,1.083,4.191,13.23352214,6.7372,2454973.32196
139,KIC 5436502,3,1,0.015336,1.083,4.191,6.15560285,4.9843,2454967.81656
140,KIC 5436502,4,1,0.010686,1.083,4.191,2.090811305,3.388,2454967.17462
141,KIC 10875245,3,1,0.009989,1.113,4.191,3.180027898,3.5797,2454966.49863
142,KIC 5436502,5,1,0.01767,1.083,4.191,50.4467417,7.159,2455011.5014
143,KIC 5456651,1,1,0.028519,0.849,4.603,11.76307164,2.9076,2455013.93613
144,KIC 5456651,2,1,0.028683,0.849,4.603,56.2279271,3.57,2454965.29259
145,KIC 5481416,1,0,0.222925,0.683,4.58,2.384052875,3.0918,2455004.58362
146,KIC 5531576,1,1,0.026448,0.759,4.536,7.953547,2.6312,2455007.66224
147,KIC 5531576,2,1,0.017441,0.759,4.536,4.14451656,2.3421,2454968.92831
148,KIC 5534814,1,0,0.355227,1.05,4.47,4.859386384,2.2757,2455006.011469
149,KIC 6291653,1,1,0.095143,0.82,4.553,10.526294577,2.5211,2455009.522462
150,KIC 6392727,1,1,0.056287,0.973,4.54,4.583520948,2.7055,2455002.973972
151,KIC 6422070,1,1,0.025656,0.974,4.472,3.76181843,3.5176,2455004.90364
152,KIC 6428700,1,1,0.033372,0.785,4.499,8.20396958,2.9667,2455002.69138
153,KIC 6428700,2,1,0.033377,0.785,4.499,14.49645186,4.016,2454976.41659
154,KIC 5792202,3,1,0.024555,0.926,4.581,6.54626149,2.75,2454966.85964
155,KIC 5794379,1,1,0.030871,0.67,4.592,12.71809866,3.0957,2455008.35526
